student_id,installment,amount_due,due_date,payment_date,amount_paid,status,payment_method,receipt_number
1,Semester 1 - Tuition,35000,2025-08-15,2025-08-25,35000,Paid - Late,Cheque,RCP81602
1,Semester 1 - Other,15000,2025-08-15,,0,Pending,,
1,Semester 2 - Tuition,35000,2025-01-15,2025-01-08,35000,Paid - On Time,Cheque,RCP94211
1,Semester 2 - Other,15000,2025-01-15,,0,Pending,,
2,Semester 1 - Tuition,35000,2025-08-15,,0,Pending,,
2,Semester 1 - Other,15000,2025-08-15,2025-09-15,15000,Paid - Late,Cash,RCP66389
2,Semester 2 - Tuition,35000,2025-01-15,2025-03-11,35000,Paid - Late,Cash,RCP79762
2,Semester 2 - Other,15000,2025-01-15,2025-01-31,15000,Paid - Late,Online,RCP85943
3,Semester 1 - Tuition,35000,2025-08-15,2025-08-13,35000,Paid - On Time,Cheque,RCP89027
3,Semester 1 - Other,15000,2025-08-15,2025-08-15,15000,Paid - On Time,DD,RCP41291
3,Semester 2 - Tuition,35000,2025-01-15,2025-01-10,35000,Paid - On Time,Cheque,RCP85101
3,Semester 2 - Other,15000,2025-01-15,2025-01-08,15000,Paid - On Time,Cash,RCP38753
4,Semester 1 - Tuition,35000,2025-08-15,2025-08-10,35000,Paid - On Time,Online,RCP39222
4,Semester 1 - Other,15000,2025-08-15,2025-08-08,15000,Paid - On Time,Online,RCP12610
4,Semester 2 - Tuition,35000,2025-01-15,2025-01-05,35000,Paid - On Time,Cheque,RCP14894
4,Semester 2 - Other,15000,2025-01-15,2025-03-05,15000,Paid - Late,Online,RCP63861
5,Semester 1 - Tuition,35000,2025-08-15,2025-08-08,35000,Paid - On Time,Cash,RCP84565
5,Semester 1 - Other,15000,2025-08-15,2025-08-11,15000,Paid - On Time,Online,RCP35355
5,Semester 2 - Tuition,35000,2025-01-15,2025-01-14,35000,Paid - On Time,Cash,RCP51764
5,Semester 2 - Other,15000,2025-01-15,2025-01-25,15000,Paid - Late,Online,RCP28277
6,Semester 1 - Tuition,35000,2025-08-15,2025-08-09,35000,Paid - On Time,Online,RCP98155
6,Semester 1 - Other,15000,2025-08-15,2025-08-14,15000,Paid - On Time,Cheque,RCP49489
6,Semester 2 - Tuition,35000,2025-01-15,2025-02-20,35000,Paid - Late,Cheque,RCP29760
6,Semester 2 - Other,15000,2025-01-15,2025-03-03,15000,Paid - Late,Online,RCP58914
7,Semester 1 - Tuition,35000,2025-08-15,2025-08-12,35000,Paid - On Time,DD,RCP95864
7,Semester 1 - Other,15000,2025-08-15,2025-08-14,15000,Paid - On Time,Cheque,RCP90174
7,Semester 2 - Tuition,35000,2025-01-15,2025-01-10,35000,Paid - On Time,Cash,RCP56839
7,Semester 2 - Other,15000,2025-01-15,2025-01-08,15000,Paid - On Time,DD,RCP60532
8,Semester 1 - Tuition,35000,2025-08-15,2025-08-13,35000,Paid - On Time,Online,RCP72702
8,Semester 1 - Other,15000,2025-08-15,2025-09-16,15000,Paid - Late,DD,RCP12971
8,Semester 2 - Tuition,35000,2025-01-15,2025-01-13,35000,Paid - On Time,Online,RCP47245
8,Semester 2 - Other,15000,2025-01-15,2025-03-03,15000,Paid - Late,Cash,RCP38993
9,Semester 1 - Tuition,35000,2025-08-15,2025-08-15,35000,Paid - On Time,Cash,RCP55129
9,Semester 1 - Other,15000,2025-08-15,2025-08-07,15000,Paid - On Time,DD,RCP75780
9,Semester 2 - Tuition,35000,2025-01-15,2025-02-02,35000,Paid - Late,DD,RCP48692
9,Semester 2 - Other,15000,2025-01-15,2025-02-12,15000,Paid - Late,Online,RCP72093
10,Semester 1 - Tuition,35000,2025-08-15,2025-08-07,35000,Paid - On Time,Cash,RCP72440
10,Semester 1 - Other,15000,2025-08-15,2025-09-06,15000,Paid - Late,Cheque,RCP83196
10,Semester 2 - Tuition,35000,2025-01-15,,0,Pending,,
10,Semester 2 - Other,15000,2025-01-15,2025-03-07,15000,Paid - Late,Cheque,RCP85445
11,Semester 1 - Tuition,35000,2025-08-15,2025-08-13,35000,Paid - On Time,Cash,RCP17413
11,Semester 1 - Other,15000,2025-08-15,2025-08-12,15000,Paid - On Time,Online,RCP78213
11,Semester 2 - Tuition,35000,2025-01-15,2025-01-30,35000,Paid - Late,Cash,RCP47005
11,Semester 2 - Other,15000,2025-01-15,2025-01-06,15000,Paid - On Time,DD,RCP35153
12,Semester 1 - Tuition,35000,2025-08-15,2025-08-06,35000,Paid - On Time,Online,RCP91243
12,Semester 1 - Other,15000,2025-08-15,,0,Pending,,
12,Semester 2 - Tuition,35000,2025-01-15,,0,Pending,,
12,Semester 2 - Other,15000,2025-01-15,2025-01-11,15000,Paid - On Time,DD,RCP68584
13,Semester 1 - Tuition,35000,2025-08-15,2025-08-09,35000,Paid - On Time,Online,RCP35123
13,Semester 1 - Other,15000,2025-08-15,2025-08-15,15000,Paid - On Time,DD,RCP77180
13,Semester 2 - Tuition,35000,2025-01-15,,0,Pending,,
13,Semester 2 - Other,15000,2025-01-15,2025-02-12,15000,Paid - Late,DD,RCP75801
14,Semester 1 - Tuition,35000,2025-08-15,2025-08-29,35000,Paid - Late,Cheque,RCP30060
14,Semester 1 - Other,15000,2025-08-15,2025-08-12,15000,Paid - On Time,Cheque,RCP30533
14,Semester 2 - Tuition,35000,2025-01-15,2025-01-13,35000,Paid - On Time,Online,RCP16195
14,Semester 2 - Other,15000,2025-01-15,2025-01-11,15000,Paid - On Time,Online,RCP99232
15,Semester 1 - Tuition,35000,2025-08-15,2025-08-10,35000,Paid - On Time,Online,RCP84207
15,Semester 1 - Other,15000,2025-08-15,2025-08-13,15000,Paid - On Time,Online,RCP54256
15,Semester 2 - Tuition,35000,2025-01-15,2025-03-09,35000,Paid - Late,Cheque,RCP37542
15,Semester 2 - Other,15000,2025-01-15,2025-01-12,15000,Paid - On Time,Online,RCP41124
16,Semester 1 - Tuition,35000,2025-08-15,2025-09-17,35000,Paid - Late,DD,RCP94820
16,Semester 1 - Other,15000,2025-08-15,2025-09-10,15000,Paid - Late,Cheque,RCP99857
16,Semester 2 - Tuition,35000,2025-01-15,2025-01-12,35000,Paid - On Time,Cheque,RCP21840
16,Semester 2 - Other,15000,2025-01-15,,0,Pending,,
17,Semester 1 - Tuition,35000,2025-08-15,2025-08-07,35000,Paid - On Time,DD,RCP89368
17,Semester 1 - Other,15000,2025-08-15,2025-08-10,15000,Paid - On Time,Cash,RCP66065
