student_id,visit_date,activity,book_title,duration_hours,checkout_date,return_date
26,2025-11-11,Reading Session,,2.0,,
26,2025-09-23,Book Borrowed,Chemistry Fundamentals,,2025-09-23,
26,2025-11-29,Reading Session,,3.0,,
26,2025-08-27,Book Borrowed,Chemistry Fundamentals,,2025-08-27,
26,2025-11-05,Book Borrowed,Advanced Mathematics,,2025-11-05,
26,2025-09-04,Book Returned,Physics Vol 1,,,2025-09-25
26,2025-10-10,Reading Session,,1.0,,
26,2025-11-24,Book Returned,Introduction to Algorithms,,,2025-12-03
26,2025-11-02,Book Borrowed,Power Systems,,2025-11-02,
26,2025-11-21,Book Returned,Database Management Systems,,,2025-12-03
26,2025-11-11,Reading Session,,3.0,,
26,2025-09-12,Book Returned,Data Structures and Algorithms,,,2025-09-30
26,2025-11-12,Book Returned,Computer Networks,,,2025-11-20
26,2025-09-19,Book Borrowed,Power Systems,,2025-09-19,
460,2025-09-30,Book Returned,Software Engineering,,,2025-10-10
460,2025-09-18,Book Borrowed,Operating Systems,,2025-09-18,
460,2025-08-30,Book Borrowed,Database Management Systems,,2025-08-30,
460,2025-11-06,Reading Session,,3.0,,
460,2025-09-02,Book Borrowed,Machine Learning,,2025-09-02,
460,2025-11-19,Reading Session,,2.0,,
460,2025-09-12,Book Borrowed,Operating Systems,,2025-09-12,
460,2025-11-10,Book Borrowed,Introduction to Algorithms,,2025-11-10,
460,2025-10-16,Book Borrowed,Physics Vol 1,,2025-10-16,
460,2025-11-16,Book Returned,Advanced Mathematics,,,2025-12-01
460,2025-09-27,Reading Session,,4.0,,
460,2025-11-14,Book Borrowed,Power Systems,,2025-11-14,
460,2025-09-01,Book Borrowed,Operating Systems,,2025-09-01,
460,2025-11-02,Book Returned,Power Systems,,,2025-11-11
460,2025-10-24,Book Borrowed,Control Systems,,2025-10-24,
460,2025-08-24,Reading Session,,1.0,,
460,2025-09-30,Book Borrowed,Power Systems,,2025-09-30,
540,2025-09-14,Book Returned,Introduction to Algorithms,,,2025-09-21
540,2025-09-30,Book Returned,Database Management Systems,,,2025-10-18
540,2025-11-05,Book Returned,Control Systems,,,2025-11-26
540,2025-11-01,Book Returned,Digital Electronics,,,2025-11-17
540,2025-11-11,Reading Session,,3.0,,
540,2025-11-13,Book Returned,Machine Learning,,,2025-12-04
540,2025-10-26,Reading Session,,2.0,,
540,2025-09-19,Reading Session,,4.0,,
540,2025-09-06,Reading Session,,4.0,,
540,2025-09-09,Book Borrowed,Machine Learning,,2025-09-09,
540,2025-11-10,Reading Session,,2.0,,
540,2025-11-22,Book Borrowed,Digital Electronics,,2025-11-22,
540,2025-10-05,Reading Session,,1.0,,
540,2025-09-15,Reading Session,,1.0,,
540,2025-08-31,Reading Session,,4.0,,
540,2025-09-23,Reading Session,,1.0,,
883,2025-10-16,Book Returned,Software Engineering,,,2025-10-29
883,2025-09-19,Reading Session,,1.0,,
883,2025-10-28,Book Returned,Physics Vol 1,,,2025-11-11
883,2025-09-24,Book Borrowed,Artificial Intelligence,,2025-09-24,
883,2025-09-19,Reading Session,,3.0,,
331,2025-10-19,Book Returned,Operating Systems,,,2025-11-08
331,2025-11-29,Reading Session,,3.0,,
331,2025-11-10,Book Returned,Operating Systems,,,2025-11-27
331,2025-11-16,Reading Session,,1.0,,
331,2025-11-26,Book Returned,Control Systems,,,2025-12-12
331,2025-10-11,Book Borrowed,Database Management Systems,,2025-10-11,
331,2025-10-23,Book Borrowed,Software Engineering,,2025-10-23,
779,2025-11-29,Book Returned,Data Structures and Algorithms,,,2025-12-08
779,2025-11-30,Book Returned,Introduction to Algorithms,,,2025-12-07
779,2025-11-27,Book Returned,Chemistry Fundamentals,,,2025-12-04
779,2025-09-02,Book Returned,Advanced Mathematics,,,2025-09-16
779,2025-10-27,Reading Session,,1.0,,
779,2025-09-14,Reading Session,,4.0,,
779,2025-10-23,Book Returned,Operating Systems,,,2025-11-13
206,2025-11-21,Book Returned,Advanced Mathematics,,,2025-11-29
206,2025-09-25,Book Borrowed,Advanced Mathematics,,2025-09-25,
206,2025-08-28,Book Returned,Operating Systems,,,2025-09-13
206,2025-08-28,Reading Session,,3.0,,
206,2025-10-08,Book Borrowed,Database Management Systems,,2025-10-08,
206,2025-09-04,Book Borrowed,Power Systems,,2025-09-04,
206,2025-11-21,Book Borrowed,Control Systems,,2025-11-21,
206,2025-09-05,Book Returned,Digital Electronics,,,2025-09-15
206,2025-09-15,Book Returned,Operating Systems,,,2025-10-01
206,2025-11-23,Book Borrowed,Machine Learning,,2025-11-23,
206,2025-10-18,Book Returned,Introduction to Algorithms,,,2025-11-01
206,2025-10-25,Book Returned,Database Management Systems,,,2025-11-06
206,2025-11-09,Reading Session,,3.0,,
206,2025-09-07,Reading Session,,1.0,,
375,2025-10-26,Book Returned,Physics Vol 1,,,2025-11-10
375,2025-09-21,Book Borrowed,Machine Learning,,2025-09-21,
375,2025-09-17,Book Borrowed,Chemistry Fundamentals,,2025-09-17,
375,2025-10-20,Book Borrowed,Artificial Intelligence,,2025-10-20,
375,2025-09-14,Book Borrowed,Database Management Systems,,2025-09-14,
375,2025-11-07,Book Returned,Physics Vol 1,,,2025-11-14
27,2025-09-12,Reading Session,,3.0,,
27,2025-10-12,Book Returned,Machine Learning,,,2025-10-22
27,2025-10-17,Book Borrowed,Digital Electronics,,2025-10-17,
27,2025-11-10,Book Borrowed,Introduction to Algorithms,,2025-11-10,
27,2025-08-23,Book Borrowed,Software Engineering,,2025-08-23,
27,2025-10-02,Book Borrowed,Software Engineering,,2025-10-02,
27,2025-11-23,Book Returned,Control Systems,,,2025-12-11
911,2025-11-22,Book Borrowed,Computer Networks,,2025-11-22,
911,2025-09-22,Book Returned,Artificial Intelligence,,,2025-10-02
911,2025-10-08,Book Returned,Introduction to Algorithms,,,2025-10-18
911,2025-10-02,Book Borrowed,Operating Systems,,2025-10-02,
911,2025-10-28,Book Returned,Chemistry Fundamentals,,,2025-11-14
911,2025-10-02,Book Borrowed,Power Systems,,2025-10-02,
911,2025-10-22,Book Returned,Control Systems,,,2025-10-31
911,2025-09-03,Book Returned,Digital Electronics,,,2025-09-13
911,2025-10-29,Book Returned,Introduction to Algorithms,,,2025-11-11
911,2025-10-04,Reading Session,,1.0,,
911,2025-10-08,Book Borrowed,Machine Learning,,2025-10-08,
911,2025-11-11,Book Returned,Advanced Mathematics,,,2025-11-18
911,2025-09-30,Book Returned,Machine Learning,,,2025-10-14
666,2025-09-03,Book Returned,Introduction to Algorithms,,,2025-09-18
666,2025-10-23,Book Returned,Chemistry Fundamentals,,,2025-11-10
666,2025-08-30,Reading Session,,2.0,,
666,2025-11-25,Book Returned,Control Systems,,,2025-12-08
666,2025-08-24,Book Borrowed,Control Systems,,2025-08-24,
666,2025-09-21,Book Borrowed,Computer Networks,,2025-09-21,
666,2025-11-20,Reading Session,,3.0,,
666,2025-10-08,Book Returned,Database Management Systems,,,2025-10-27
666,2025-10-22,Book Borrowed,Database Management Systems,,2025-10-22,
666,2025-11-24,Reading Session,,2.0,,
666,2025-10-04,Book Borrowed,Advanced Mathematics,,2025-10-04,
666,2025-11-19,Book Returned,Operating Systems,,,2025-11-27
720,2025-09-13,Book Borrowed,Chemistry Fundamentals,,2025-09-13,
720,2025-09-30,Book Borrowed,Computer Networks,,2025-09-30,
720,2025-08-26,Reading Session,,3.0,,
720,2025-10-17,Reading Session,,4.0,,
720,2025-08-29,Book Borrowed,Operating Systems,,2025-08-29,
720,2025-11-13,Reading Session,,4.0,,
720,2025-09-27,Book Returned,Software Engineering,,,2025-10-09
720,2025-10-17,Book Borrowed,Physics Vol 1,,2025-10-17,
720,2025-09-10,Book Returned,Chemistry Fundamentals,,,2025-09-25
720,2025-11-11,Book Returned,Operating Systems,,,2025-12-02
720,2025-10-20,Reading Session,,4.0,,
720,2025-10-25,Book Returned,Software Engineering,,,2025-11-10
720,2025-09-12,Reading Session,,3.0,,
720,2025-10-06,Book Returned,Advanced Mathematics,,,2025-10-22
75,2025-11-06,Reading Session,,3.0,,
75,2025-11-20,Book Borrowed,Machine Learning,,2025-11-20,
75,2025-09-21,Book Borrowed,Computer Networks,,2025-09-21,
75,2025-10-04,Book Borrowed,Operating Systems,,2025-10-04,
75,2025-10-02,Book Returned,Database Management Systems,,,2025-10-15
75,2025-11-13,Book Borrowed,Physics Vol 1,,2025-11-13,
75,2025-11-10,Book Borrowed,Machine Learning,,2025-11-10,
75,2025-09-13,Book Borrowed,Artificial Intelligence,,2025-09-13,
505,2025-08-29,Book Returned,Artificial Intelligence,,,2025-09-19
505,2025-09-28,Reading Session,,4.0,,
505,2025-10-11,Book Returned,Machine Learning,,,2025-10-20
505,2025-11-10,Book Returned,Data Structures and Algorithms,,,2025-11-30
505,2025-09-25,Reading Session,,4.0,,
505,2025-09-17,Book Borrowed,Software Engineering,,2025-09-17,
505,2025-09-08,Book Returned,Digital Electronics,,,2025-09-15
505,2025-10-02,Book Returned,Computer Networks,,,2025-10-14
505,2025-10-29,Book Returned,Introduction to Algorithms,,,2025-11-13
505,2025-10-22,Book Returned,Artificial Intelligence,,,2025-11-08
505,2025-09-04,Book Borrowed,Data Structures and Algorithms,,2025-09-04,
505,2025-11-06,Book Returned,Computer Networks,,,2025-11-24
505,2025-10-26,Book Returned,Data Structures and Algorithms,,,2025-11-12
