student_id,report_date,behavior_type,behavior,description,reported_by,severity
632,2025-09-05,Positive,Helpful to Peers,Assists other students,HOD,Positive
632,2025-10-20,Negative,Irregular Attendance,Missing classes without notice,Prof. Sharma,Medium
632,2025-11-16,Positive,Helpful to Peers,Assists other students,Prof. Mehta,Positive
405,2025-10-08,Positive,Respectful Behavior,Shows respect to faculty and peers,Prof. Reddy,Positive
405,2025-10-17,Positive,Respectful Behavior,Shows respect to faculty and peers,Prof. Reddy,Positive
986,2025-10-08,Positive,Respectful Behavior,Shows respect to faculty and peers,Prof. Mehta,Positive
986,2025-09-16,Positive,Good Team Player,Works well in groups,HOD,Positive
874,2025-11-22,Positive,Good Team Player,Works well in groups,Prof. Reddy,Positive
874,2025-10-07,Negative,Distracted in Class,Not paying attention,Prof. Reddy,Medium
874,2025-10-14,Negative,Distracted in Class,Not paying attention,Prof. Sharma,Low
187,2025-10-22,Positive,Punctual,Always on time for classes,HOD,Positive
187,2025-10-03,Positive,Good Team Player,Works well in groups,Prof. Reddy,Positive
187,2025-09-10,Positive,Excellent Participation,Always participates actively in class,HOD,Positive
388,2025-09-05,Positive,Excellent Participation,Always participates actively in class,HOD,Positive
388,2025-10-19,Positive,Good Team Player,Works well in groups,Prof. Sharma,Positive
388,2025-10-05,Positive,Respectful Behavior,Shows respect to faculty and peers,Prof. Sharma,Positive
41,2025-09-27,Positive,Respectful Behavior,Shows respect to faculty and peers,Prof. Sharma,Positive
259,2025-11-19,Positive,Helpful to Peers,Assists other students,Prof. Mehta,Positive
259,2025-10-13,Positive,Good Team Player,Works well in groups,Prof. Mehta,Positive
259,2025-10-02,Positive,Good Team Player,Works well in groups,Prof. Sharma,Positive
969,2025-09-22,Positive,Respectful Behavior,Shows respect to faculty and peers,Prof. Reddy,Positive
365,2025-11-18,Positive,Helpful to Peers,Assists other students,Prof. Sharma,Positive
808,2025-09-22,Positive,Punctual,Always on time for classes,Prof. Sharma,Positive
229,2025-09-13,Positive,Punctual,Always on time for classes,Prof. Sharma,Positive
234,2025-11-02,Negative,Late to Class,Frequently arrives late,Prof. Sharma,Medium
234,2025-10-03,Negative,Irregular Attendance,Missing classes without notice,Prof. Mehta,High
234,2025-10-27,Positive,Punctual,Always on time for classes,Prof. Sharma,Positive
849,2025-09-21,Negative,Distracted in Class,Not paying attention,Prof. Sharma,Medium
849,2025-11-01,Positive,Respectful Behavior,Shows respect to faculty and peers,Prof. Mehta,Positive
767,2025-09-25,Negative,Late to Class,Frequently arrives late,Prof. Mehta,Low
354,2025-11-21,Negative,Late to Class,Frequently arrives late,Prof. Sharma,Medium
354,2025-11-09,Negative,Late to Class,Frequently arrives late,HOD,High
100,2025-09-24,Positive,Punctual,Always on time for classes,Prof. Sharma,Positive
100,2025-11-01,Positive,Respectful Behavior,Shows respect to faculty and peers,Prof. Reddy,Positive
786,2025-09-07,Negative,Distracted in Class,Not paying attention,Prof. Sharma,Medium
786,2025-09-17,Positive,Respectful Behavior,Shows respect to faculty and peers,Prof. Reddy,Positive
786,2025-09-30,Negative,Late to Class,Frequently arrives late,Prof. Reddy,High
22,2025-11-14,Positive,Respectful Behavior,Shows respect to faculty and peers,Prof. Reddy,Positive
22,2025-11-05,Negative,Distracted in Class,Not paying attention,HOD,Low
22,2025-09-09,Negative,Late to Class,Frequently arrives late,HOD,High
178,2025-10-17,Negative,Distracted in Class,Not paying attention,HOD,Medium
471,2025-11-13,Positive,Respectful Behavior,Shows respect to faculty and peers,Prof. Sharma,Positive
471,2025-09-13,Negative,Distracted in Class,Not paying attention,HOD,Medium
718,2025-09-18,Positive,Excellent Participation,Always participates actively in class,Prof. Reddy,Positive
196,2025-11-01,Positive,Excellent Participation,Always participates actively in class,Prof. Sharma,Positive
208,2025-09-02,Positive,Punctual,Always on time for classes,Prof. Mehta,Positive
72,2025-10-22,Negative,Irregular Attendance,Missing classes without notice,Prof. Sharma,High
72,2025-09-22,Positive,Helpful to Peers,Assists other students,HOD,Positive
109,2025-09-10,Positive,Punctual,Always on time for classes,HOD,Positive
